time,thrust
3.583484,2270.742241
3.587355,2286.886038
3.591226,2363.109976
3.595097,2323.613861
3.598968,2285.43337
3.602839,2340.607332
3.607,2379.445635
3.610871,2342.306679
3.614742,2351.954585
3.618613,2368.728785
3.622484,2383.885864
3.626355,2330.959426
3.630226,2333.535855
3.634097,2364.151511
3.637968,2374.731317
3.641839,2287.489032
3.645,2296.725806
3.648871,2351.790132
3.652742,2309.607953
3.656613,2259.367579
3.660484,2303.38615
3.664355,2314.349679
3.668226,2311.115438
3.672097,2290.038053
3.675968,2335.015932
3.679839,2366.727941
3.684,2354.640649
3.687871,2296.972485
3.691742,2344.691247
3.695613,2360.478729
3.699484,2347.980305
3.703355,2355.545141
3.707226,2335.591517
3.711097,2339.976929
3.714968,2321.77747
3.718839,2308.813097
3.723,2321.585608
3.726871,2306.702617
3.730742,2320.927797
3.734613,2305.661082
3.738484,2319.639582
3.742355,2309.717588
3.746226,2354.448788
3.750097,2349.73447
3.753968,2342.772629
3.757839,2336.057467
3.761,2372.56602
3.764871,2377.170702
3.768742,2359.464602
3.772613,2356.860764
3.776484,2331.891326
3.780355,2332.02837
3.784226,2329.506758
3.788097,2330.301614
3.791968,2321.09225
3.795839,2276.415868
3.8,2287.516441
3.803871,2310.649488
3.807742,2331.672055
3.811613,2294.094559
3.815484,2324.463535
3.819355,2309.827223
3.823226,2340.854011
3.827097,2363.521108
3.830968,2345.047561
3.834839,2375.306902
3.839,2407.04632
3.842871,2353.763567
3.846742,2334.659617
3.850613,2367.44057
3.854484,2345.07497
3.858355,2305.414403
3.862226,2327.505914
3.866097,2304.564729
3.869968,2287.187535
3.873839,2313.253326
3.878,2321.996741
3.881871,2314.843038
3.885742,2314.78822
3.889613,2333.837353
3.893484,2316.377932
3.897355,2340.333244
3.901226,2352.584988
3.905097,2356.148135
3.908968,2372.154888
3.912839,2380.651623
3.916,2346.47282
3.919871,2334.769253
3.923742,2370.757038
3.927613,2357.957117
3.931484,2314.157817
3.935355,2318.104688
3.939226,2308.292329
3.943097,2312.266609
3.946968,2313.088873
3.950839,2299.220009
3.955,2293.765653
3.958871,2317.446876
3.962742,2325.258391
3.966613,2340.059155
3.970484,2356.888173
3.974355,2351.077502
3.978226,2317.255014
3.982097,2353.407252
3.985968,2342.361497
3.989839,2355.32587
3.994,2389.80617
3.997871,2360.752817
4.001742,2289.215788
4.005613,2318.98177
4.009484,2322.599735
4.013355,2315.50085
4.017226,2343.731938
4.021097,2298.589606
4.024968,2272.085273
4.028839,2303.934326
4.032,2328.602267
4.035871,2319.804035
4.039742,2320.187759
4.043613,2345.486102
4.047484,2333.453629
4.051355,2322.380464
4.055226,2370.619994
4.059097,2377.22552
4.062968,2357.792664
4.066839,2332.439503
4.071,2332.384685
4.074871,2388.682408
4.078742,2358.505294
4.082613,2306.264076
4.086484,2307.11375
4.090355,2333.097314
4.094226,2302.180162
4.098097,2308.922732
4.101968,2339.94952
4.105839,2318.51582
4.11,2284.172565
4.113871,2292.915979
4.117742,2314.651176
4.121613,2384.324405
4.125484,2380.980529
4.129355,2341.429597
4.133226,2355.271052
4.137097,2356.175544
4.140968,2357.436349
4.144839,2369.934773
4.148,2348.144758
4.151871,2343.403032
4.155742,2344.60902
4.159613,2320.489256
4.163484,2289.681738
4.167355,2298.617015
4.171226,2335.372247
4.175097,2322.764188
4.178968,2316.076435
4.182839,2326.656241
4.187,2347.486947
4.190871,2337.756814
4.194742,2333.974397
4.198613,2366.645714
4.202484,2349.323338
4.206355,2367.495388
4.210226,2399.947435
4.214097,2352.173855
4.217968,2347.569173
4.221839,2371.414849
4.226,2313.664459
4.229871,2345.924644
4.233742,2348.226985
4.237613,2279.485656
4.241484,2289.928418
4.245355,2348.5833
4.249226,2310.3754
4.253097,2316.076435
4.256968,2319.44772
4.260839,2306.40112
4.265,2334.248485
4.268871,2349.04925
4.272742,2364.946367
4.276613,2362.616617
4.280484,2364.918958
4.284355,2348.912205
4.288226,2364.699688
4.292097,2392.958185
4.295968,2353.708749
4.299839,2286.83122
4.303,2326.108064
4.306871,2345.266832
4.310742,2308.292329
4.314613,2323.147911
4.318484,2328.136317
4.322355,2303.468376
4.326226,2299.110373
4.330097,2306.099623
4.333968,2358.313432
4.337839,2342.005182
4.342,2337.4005
4.345871,2336.386373
4.349742,2381.062755
4.353613,2383.173235
4.357484,2366.673123
4.361355,2383.03619
4.365226,2351.378999
4.369097,2336.93455
4.372968,2327.314053
4.376839,2364.480417
4.381,2374.539455
4.384871,2285.351144
4.388742,2289.40765
4.392613,2317.419467
4.396484,2291.600356
4.400355,2353.92802
4.404226,2369.742911
4.408097,2296.61617
4.411968,2298.425153
4.415839,2350.584144
4.419,2403.07204
4.422871,2384.625902
4.426742,2346.418002
4.430613,2341.895547
4.434484,2350.584144
4.438355,2359.108288
4.442226,2359.163105
4.446097,2360.533547
4.449968,2356.915582
4.453839,2274.442432
4.458,2279.293794
4.461871,2377.499608
4.465742,2355.134008
4.469613,2304.784
4.473484,2281.294638
4.477355,2285.296326
4.481226,2360.670591
4.485097,2359.354967
4.488968,2366.563488
4.492839,2370.099226
4.497,2361.109132
4.500871,2311.444344
4.504742,2357.491167
4.508613,2387.284558
4.512484,2373.443102
4.516355,2368.098382
4.520226,2354.503605
4.524097,2301.933482
4.527968,2320.078123
4.531839,2343.156352
4.536,2358.450476
4.539871,2300.837129
4.543742,2271.345235
4.547613,2300.80972
4.551484,2382.241335
4.555355,2349.158885
4.559226,2310.3754
4.563097,2313.116282
4.566968,2352.53017
4.570839,2354.722876
4.574,2366.344217
4.577871,2420.010693
4.581742,2386.243023
4.585613,2348.035123
4.589484,2345.732782
4.593355,2351.461226
4.597226,2356.559267
4.601097,2334.001805
4.604968,2296.835441
4.608839,2321.256703
4.613,2305.496629
4.616871,2314.952673
4.620742,2352.53017
4.624613,2353.92802
4.628484,2331.8091
4.632355,2311.745841
4.636226,2361.355811
4.640097,2373.059379
4.643968,2390.052849
4.647839,2345.403876
4.652,2383.03619
4.655871,2391.121793
4.659742,2295.985767
4.663613,2353.681341
4.667484,2397.069508
4.671355,2329.534167
4.675226,2296.314673
4.679097,2316.405341
4.682968,2319.995897
4.686839,2348.391438
4.69,2336.030058
4.693871,2316.569794
4.697742,2306.592982
4.701613,2313.417779
4.705484,2342.087408
4.709355,2388.326093
4.713226,2381.309435
4.717097,2338.935394
4.720968,2358.724564
4.724839,2378.321873
4.729,2350.4471
4.732871,2380.158264
4.736742,2394.410852
4.740613,2350.392282
4.744484,2329.890482
4.748355,2346.308367
4.752226,2345.047561
4.756097,2280.719053
4.759968,2290.476594
4.763839,2336.578235
4.768,2352.146447
4.771871,2358.779382
4.775742,2326.080656
4.779613,2335.728561
4.783484,2339.510979
4.787355,2339.976929
4.791226,2371.497076
4.795097,2412.500676
4.798968,2358.532702
4.802839,2340.689558
4.806,2378.184829
4.809871,2394.410852
4.813742,2363.466291
4.817613,2338.277582
4.821484,2331.425376
4.825355,2335.701153
4.829226,2330.657929
4.833097,2337.86645
4.836968,2305.386994
4.840839,2334.330711
4.845,2327.752594
4.848871,2324.052403
4.852742,2352.146447
4.856613,2391.560335
4.860484,2351.050094
4.864355,2336.22192
4.868226,2324.162038
4.872097,2372.620838
4.875968,2364.864141
4.879839,2402.332002
4.884,2356.942991
4.887871,2319.995897
4.891742,2335.920423
4.895613,2371.031126
4.899484,2329.287488
4.903355,2332.878044
4.907226,2319.420311
4.911097,2293.930106
4.914968,2324.079811
4.918839,2375.635808
4.923,2319.886261
4.926871,2309.059776
4.930742,2335.975241
4.934613,2365.741223
4.938484,2378.595961
4.942355,2395.178299
4.946226,2351.625679
4.950097,2353.407252
4.953968,2394.054537
4.957839,2352.53017
4.961,2374.457229
4.964871,2379.911585
4.968742,2324.874667
4.972613,2334.221076
4.976484,2344.006026
4.980355,2331.315741
4.984226,2337.537544
4.988097,2305.277359
4.991968,2299.384462
4.995839,2366.453852
5,2359.98537
5.003871,2328.245953
5.007742,2322.435282
5.011613,2379.007093
5.015484,2388.189049
5.019355,2359.464602
5.023226,2383.831046
5.027097,2381.144982
5.030968,2340.004338
5.034839,2382.186517
5.039,2385.941526
5.042871,2345.705373
5.046742,2327.725185
5.050613,2308.26492
5.054484,2340.991055
5.058355,2317.638738
5.062226,2290.668456
5.066097,2334.659617
5.069968,2344.033435
5.073839,2291.819626
5.077,2349.597426
5.080871,2363.466291
5.084742,2356.668902
5.088613,2362.616617
5.092484,2384.762946
5.096355,2396.055382
5.100226,2373.634964
5.104097,2366.563488
5.107968,2345.294241
5.111839,2361.520264
5.116,2366.015311
5.119871,2312.759967
5.123742,2322.188603
5.127613,2325.779158
5.131484,2332.192823
5.135355,2321.941923
5.139226,2357.518576
5.143097,2350.501917
5.146968,2331.754282
5.150839,2329.260079
5.155,2344.14307
5.158871,2379.445635
5.162742,2412.802173
5.166613,2345.32165
5.170484,2341.676276
5.174355,2364.398191
5.178226,2322.325647
5.182097,2354.119882
5.185968,2402.14014
5.189839,2386.407476
5.194,2307.79897
5.197871,2293.738244
5.201742,2352.886485
5.205613,2322.873823
5.209484,2321.77747
5.213355,2345.705373
5.217226,2304.290641
5.221097,2348.912205
5.224968,2378.349282
5.228839,2326.875511
5.232,2349.597426
5.235871,2390.765479
5.239742,2327.533323
5.243613,2368.153199
5.247484,2415.214149
5.251355,2372.977152
5.255226,2340.552514
5.259097,2368.619149
5.262968,2351.351591
5.266839,2328.574858
5.271,2316.953517
5.274871,2319.338085
5.278742,2335.509291
5.282613,2330.383841
5.286484,2324.902076
5.290355,2369.194735
5.294226,2347.623991
5.298097,2270.084429
5.301968,2313.061464
5.305839,2376.951432
5.31,2372.867517
5.313871,2370.318496
5.317742,2347.623991
5.321613,2334.029214
5.325484,2368.865829
5.329355,2388.380911
5.333226,2365.741223
5.337097,2393.040411
5.340968,2313.253326
5.344839,2282.034676
5.348,2354.202108
5.351871,2382.899146
5.355742,2390.929932
5.359613,2338.853167
5.363484,2294.012332
5.367355,2338.880576
5.371226,2367.824294
5.375097,2371.469667
5.378968,2372.511202
5.382839,2373.251241
5.387,2342.662994
5.390871,2338.853167
5.394742,2391.42329
5.398613,2400.331158
5.402484,2323.312364
5.406355,2343.348214
5.410226,2395.260526
5.414097,2346.445411
5.417968,2355.134008
5.421839,2377.69147
5.426,2280.746462
5.429871,2291.353676
5.433742,2345.842417
5.437613,2333.919579
5.441484,2352.694623
5.445355,2356.230361
5.449226,2316.43275
5.453097,2356.312588
5.456968,2383.50214
5.460839,2349.871514
5.464,2387.366785
5.467871,2384.296996
5.471742,2369.139917
5.475613,2382.81692
5.479484,2364.864141
5.483355,2350.474508
5.487226,2354.613241
5.491097,2371.442258
5.494968,2333.481038
5.498839,2305.989988
5.503,2347.6514
5.506871,2335.509291
5.510742,2320.461847
5.514613,2328.602267
5.518484,2378.267055
5.522355,2381.282026
5.526226,2338.08572
5.530097,2328.492632
5.533968,2366.453852
5.537839,2378.431508
5.542,2343.704529
5.545871,2371.661529
5.549742,2398.001408
5.553613,2348.035123
5.557484,2310.676897
5.561355,2355.682185
5.565226,2371.113352
5.569097,2352.941302
5.572968,2335.344838
5.576839,2336.496008
5.581,2361.931396
5.584871,2364.425599
